subpotnumber,longestleaf,plantheight,leafcount,status
SubPot1,102.0,148.0,7.0,Bad
SubPot2,102.0,148.0,7.0,Bad
SubPot3,103.0,146.0,7.0,Bad
SubPot4,99.0,148.0,7.0,Bad
SubPot5,103.0,150.0,6.0,Bad
SubPot6,101.0,148.0,6.0,Bad
SubPot7,103.0,147.0,7.0,Bad
SubPot8,100.0,147.0,7.0,Bad
SubPot9,109.0,153.0,7.0,Good
SubPot10,106.0,149.0,7.0,Bad
SubPot11,106.0,151.0,6.0,Bad
SubPot12,108.0,153.0,7.0,Good
SubPot13,104.0,156.0,6.0,Bad
SubPot14,100.0,146.0,7.0,Bad
SubPot15,105.0,158.0,7.0,Good
SubPot16,105.0,155.0,7.0,Bad
SubPot17,107.0,147.0,6.0,Normal
SubPot18,104.0,159.0,6.0,Normal
SubPot19,100.0,160.0,7.0,Good
SubPot20,102.0,146.0,7.0,Bad
SubPot21,103.0,150.0,7.0,Bad
SubPot22,106.0,158.0,6.0,Bad
SubPot23,105.0,157.0,7.0,Bad
SubPot24,103.0,148.0,7.0,Bad
SubPot25,110.0,149.0,6.0,Good
SubPot26,106.0,151.0,7.0,Bad
SubPot27,102.0,153.0,6.0,Good
SubPot28,100.0,155.0,6.0,Bad
SubPot29,101.0,151.0,7.0,Bad
SubPot30,102.0,153.0,7.0,Good
SubPot31,101.0,157.0,7.0,Bad
SubPot32,101.0,146.0,6.0,Bad
SubPot33,102.0,149.0,7.0,Bad
SubPot34,101.0,157.0,7.0,Good
SubPot35,109.0,160.0,7.0,Bad
SubPot36,100.0,154.0,7.0,Normal
SubPot37,105.0,154.0,7.0,Bad
SubPot38,104.0,147.0,7.0,Good
SubPot39,110.0,153.0,7.0,Normal
SubPot40,100.0,154.0,7.0,Normal
