subpotnumber,longestleaf,plantheight,leafcount,status
SubPot1,99.0,154.0,7.0,Good
SubPot2,102.0,150.0,7.0,Bad
SubPot3,108.0,151.0,7.0,Good
SubPot4,107.0,154.0,7.0,Normal
SubPot5,100.0,158.0,6.0,Bad
SubPot6,105.0,149.0,6.0,Bad
SubPot7,108.0,151.0,6.0,Good
SubPot8,106.0,147.0,7.0,Normal
SubPot9,100.0,156.0,7.0,Normal
SubPot10,99.0,147.0,6.0,Bad
SubPot11,109.0,152.0,7.0,Good
SubPot12,104.0,150.0,7.0,Bad
SubPot13,104.0,145.0,7.0,Bad
SubPot14,102.0,149.0,6.0,Normal
SubPot15,101.0,149.0,7.0,Bad
SubPot16,107.0,158.0,7.0,Bad
SubPot17,109.0,155.0,6.0,Bad
SubPot18,109.0,144.0,6.0,Good
SubPot19,99.0,148.0,7.0,Good
SubPot20,108.0,152.0,7.0,Bad
SubPot21,100.0,157.0,6.0,Bad
SubPot22,104.0,156.0,7.0,Bad
SubPot23,102.0,156.0,6.0,Bad
SubPot24,108.0,159.0,7.0,Good
SubPot25,108.0,148.0,7.0,Bad
SubPot26,106.0,144.0,7.0,Good
SubPot27,110.0,145.0,6.0,Normal
SubPot28,102.0,147.0,7.0,Bad
SubPot29,106.0,148.0,7.0,Bad
SubPot30,99.0,154.0,7.0,Bad
SubPot31,103.0,155.0,7.0,Good
SubPot32,104.0,157.0,7.0,Bad
SubPot33,110.0,147.0,7.0,Bad
SubPot34,100.0,156.0,6.0,Bad
SubPot35,107.0,146.0,7.0,Bad
SubPot36,103.0,154.0,6.0,Bad
SubPot37,100.0,153.0,7.0,Bad
SubPot38,100.0,148.0,7.0,Bad
SubPot39,101.0,147.0,6.0,Bad
SubPot40,107.0,145.0,7.0,Bad
